,question,answer,contexts,ground_truth,context_precision,context_recall,faithfulness,answer_relevancy
0,¿Qué es un crimen de odio?," Un crimen de odio se refiere a una acción violenta que está motivada por prejuicios y discriminación hacia las víctimas. En este caso, se refiere al asesinato de Diana Sacayán, quien fue reconocida como una defensora de los derechos humanos de la comunidad LGBTI+ en Argentina. La justicia argentina calificó el homicidio de Sacayán como un crimen de odio motivado por la discriminación contra las personas transgénero.","['últimas semanas un grupo de chicos del barrio se paran \nen la esquina y no las dejan avanzar. Ayer, además, uno \nde los pibes insultó a Martina y le dijo que quería tocarla \npara ver cuán mujer era.'
 'sociales y participó en la creación del Movimiento Antidiscriminatorio \nde Liberación (M.A.L.). Trabajó en el INADI, colaboró con el suplemen to SOY del diario Página/12 y en la revista El Teje, la primera publicación periodística producida por personas trans en Latinoamérica.\n“Nosotras dejamos de ser una comunidad para convertirnos en un colectivo y nos convertimos en un \ncolectivo a partir de que empezamos a reconocer \nque nosotras mismas éramos sujetas que vivíamos \nen extrema opresión y empezamos a hacer una mirada crítica de esa realidad y a partir de esa mirada, \nempezar a transformarla” (Sacayán en Lucio, 2018).DIANA SACAYÁN\nDiana fue asesinada en 2015. El autor fue condenado y la justicia argentina calificó el homicidio de una travesti como un crimen de odio'
 'sobre la base de la identidad de género. Es decir, por primera vez el \nPoder Judicial calificó el hecho por su nombre: travesticidio. Sin embargo, a inicios de octubre de 2020, la Cámara Nacional de Casación \nPenal, en oportunidad de resolver la apelación interpuesta por el ase sino de Diana, confirmó su condena pero quitó el agravante de “odio \na la identidad de género”. Hechos como este ponen en evidencia las \nprofundas injusticias y violencias que persisten en el Poder Judicial \nde nuestro país y reafirma que los derechos deben defenderse en \ncada acto, cada día, a cada momento.'
 'junto a Lohana Berkis, Pía Baudracco, entre muchxs otrxs.\nDiana fue asesinada en 2015. En primera instancia, la justicia calificó el \nhomicidio como un crimen de odio sobre la base de la identidad de género. Es decir, por primera vez el Poder Judicial calificó el hecho por su \nnombre: travesticidio. Sin embargo, hace pocos meses atrás, en octubre \nde 2020, la Cámara Nacional de Casación Penal confirmó su condena \npero quitó el agravante de “odio a la identidad de género”. Una vez más, \nvemos  los efectos que tiene la falta de perspectiva de género y diversidad en el Poder Judicial que provoca retrocesos en materia de garantía \nde derechos y compromete la responsabilidad internacional de la Argentina ante el incumplimiento de los compromisos asumidos a través']","Cuando una persona o grupo de ellas ataca a otra motivada exclusivamente por su pertenencia a un determinado grupo social, real o percibido.",0.5833333333041666,0.5,0.6666666666666666,0.4472383222920541
1,¿Qué es un lesbicidio?, Una lesbicidio es la violencia contra las mujeres lesbianas.,"['un fuerte sentido valorativo. Desde la crianza, por medio de la \nelección de la vestimenta, los juegos y juguetes, los consumos \nculturales y luego a lo largo de toda la vida, se va llevando a cabo \nuna influencia destinada a prevenir cualquier interés o expresión \nde  comportamientos o preferencias que puedan ser catalogados como femeninos. Cuando estos emergen, las familias suelen \nverlos con preocupación, con un sentido de “desgracia” y des pliegan intentos de “corregir” o encauzar la situación.  \n \n¡Eso es de nena! - Los varones no lloran. - ¿Cómo que \nno te gusta el fútbol? - ¡Seguro te persiguen las chicas!'
 '“Bueno, hay que ver quién lidera la negociación con \nla empresa. ¿Lo definimos en el partido de fútbol \ndel domingo?”\n“Mejor quedate en casa así podés estar más con lxs \nchicxs y ocuparte de la familia”.'
 'La imagen que se muestra a continuación es muy elocuente porque \ngrafica cómo se van erigiendo, sobre una base invisible y naturalizada de prácticas violentas, otras formas de violencia más visibles. En la \npunta, el asesinato, la agresión física, la violación, el abuso sexual, los \ngritos, las amenazas, el insulto. Por debajo, invisible a los ojos de lxs \ndemás: las humillaciones, el desprecio, el chantaje emocional, la culpa, \nel humor sexista o la anulación.\n31'
 'recibido burlas, el 76% insultos y amenazas, el 48% haber sido víctima de acoso sexual y el 46% víctimas de asaltos por un “levante”11.\n11 En Argentina, el término “levante” es parte de un vocabulario criollo y callejero que \nalude a los modos de cortejo para seducir y atraer a una persona. En relación con el \nejercicio de la prostitución, “un levante” refiere a cuando un varón accedió a contratar \nesos servicios. Este modismo es habitual en el “carrilche”, un lenguaje en jerga que se']","Un lesbicidio es un crimen de odio, cuando se asesina a una persona por odio a su identidad lesbiana",0.8333333332916666,1.0,1.0,0.6498710279228262
2,¿Qué implica una identidad transgénero?," Según el documento que se encuentra dentro del archivo ""diversidad.pdf"", en la página número 14, una identidad transgénero es aquella que no está asociada a las características típicas de ser hombre o mujer. Estas identidades son diversas y dinámicas ya que cambian con el tiempo; por ejemplo, puede haber personas cuyo pensamiento y cultura sean masculinos en su juventud, femeninos en la mediana edad y andróginos en la ancianidad.","['de manera cerrada o exhaustiva. Sin embargo, nombrarlas y visibili zarlas configura una estrategia política consolidada por las organiza ciones de diversidad de nuestro país.\n¿Cuántas identidades de género existen? \nLas identidades son diversas y dinámicas. Nuestro pensamiento, \nnuestra cultura, la forma en que miramos y entendemos el mundo, se \ntransforma con el tiempo. Habitamos la identidad entendiendo que no \nes un concepto cerrado o rígido. \nAunque el respeto por la identidad de género es un derecho de todas \nlas personas, LGBTI+ se encuentran en una condición de desigualdad \nrespecto de quienes viven de acuerdo a la cisheteronorma. Por eso, el \nEstado argentino asume la perspectiva de diversidad como un com promiso por garantizar el respeto de los derechos de todas, todes y'
 '93\nPerspectiva de género y diversidadINDEC – INADI (2012). Primera Encuesta sobre Población Trans \n2012:Travestis, Transexuales, Transgéneros y Hombres Trans. Informetécnico de la Prueba Piloto Municipio de La Matanza. Disponible en: \nhttp://trabajo.gob.ar/downloads/diversidadsexual/Argentina_Prime ra_Encuesta_sobre_Poblacion_Trans_2012.pdf\nInstituto Nacional de las Mujeres (2019). Primeros pasos. Inclusión \ndel enfoque de género en educación inicial. Ministerio de Desarrollo \nSocial. Uruguay.\nJabardo Velasco, Mercedes (2013). “Apuntes para una genealo gía del pensamiento feminista negro” en Pueblos Revista de información y debates. Disponible en: http://www.revistapueblos.org/\nblog/2013/05/06/apuntes-para-una-genealogia-del-pensamiento-fe minista-negro/'
 'con otras compañerxs la Asociación de Lucha por la Identidad Travesti \ny Transexual (A.L.I.T.T.) Su militancia y compromiso floreció. Participó \nen la creación de la Escuela Cooperativa Textil de Trabajo para Travestis \ny Trans Nadia Echazú (en homenaje a la activista travesti trans), fue \nasesora de la legisladora porteña Diana Maffía, candidata a diputada \nnacional en el año 2001 por el Partido Comunista y estuvo al frente \nde la Oficina de Justicia, Identidad de Género y Orientación Sexual del \nObservatorio de Género en la Justicia. Lohana falleció en 2016 y se des pidió de todxs con una carta llena de fuerza:\n“Muchos son los triunfos que obtuvimos en \nestos años. Ahora es tiempo de resistir, de'
 'Perspectiva de género y diversidad31Tipo. Cordobés. Macho. Así, sustantivo puro. Sin fisura. \nSin vueltas. Y todos tranquilos. Tranquilo yo, tranquilo el \nresto. Paz a los hombres que ama el Señor, y para mí también, mezclado entre ellos. Si yo quisiera podría transfor mar mi historia en olvido, mi cuerpo en cita, mi felicidad \nen el grado de concordancia que me devuelve el espejo. \nPodría ser dejar de ser trans y convertirme en un hombre, tan solo un hombre, parte del mismo mundo donde \nhombres y mujeres reinan. Por supuesto que podría, si yo \nquisiera. Pero no quiero”.\n \n“El género es una categoría construida, no natural, que \natraviesa tanto la esfera individual como la social (…) influye de forma crítica en la división sexual del trabajo, la']",Ser transgénero es tener una actitud muy íntima y profunda de vivir un género distinto al que la sociedad asignó a su sexo.,0.7499999999625,1.0,1.0,0.520648220668591
3,"Mi novio me revisa mi celular sin mi permiso, ¿es violencia?"," Cuando tu pareja revisa tu teléfono móvil sin tu consentimiento, puede ser considerado como una forma de violencia. La vigilancia y la intrusión en la vida privada pueden ser formas de control y manipulación que se encuentran dentro del espectro más amplio de la violencia doméstica.

Esta situación puede ser una señal de un comportamiento abusivo y no es aceptable. Si eres víctima de violencia o cualquier forma de maltrato, es importante buscar ayuda y apoyo. Puedes hablar con un consejero o terapeuta para obtener información sobre tus opciones y recursos.

En resumen, la revisión del teléfono móvil sin el consentimiento puede ser una forma de violencia. Si estás siendo víctima de maltrato, no dudes en buscar ayuda.","['violencia política-pública.\nLos distintos tipos y modalidades de violencias se sostienen en \ncreencias y estereotipos vigentes que son reproducidos a través \nde prácticas y discursos que deben revisarse con perspectiva de \ngénero y diversidad. En este sentido, algunas transformaciones \nya son visibles. Por ejemplo, ya no es tolerable que un femicidio \nsea presentado en los medios de comunicación como un “crimen \npasional”, descripción que asocia pasión o amor con violencia. De \ntodas maneras, el camino por recorrer es aún muy largo.'
 'de distintos tipos de violencia (física, sexual, psicológica, económica o \nsimbólica). A ello se suma la carga social de los roles familiares y de \ncuidado. De esta manera, las mujeres que desean participar de la actividad pública deben afrontar presiones y reglas creadas para un área \ntradicionalmente masculina.\n30'
 'de violencias contra las mujeres:\n \nViolencia física  \nSe refiere a la violencia que se emplea contra el cuerpo de la persona \nproduciendo dolor, daño o riesgo de producirlo y cualquier otra forma \nde maltrato que afecte su integridad física.\n \nSandra lleva varios años casada. Un día en el comedor \ncomunitario le comenta a una compañera que tiene mu cho dolor de cintura. Marta le dice “dejame que te vea, \nquizás te golpeaste”, cuando se levanta la remera, observa moretones. \nSandra le indica con la cabeza que salgan a hablar afuera \ny le cuenta que su marido no quiere que ella vaya al comedor y que anoche, después de discutir a los gritos, él la golpeó con los puños en la espalda y a la altura del estómago.'
 '83\nViolencias por motivos de géneroMalacalza, Laurana; Caravelos, Sofia; Racak Carolina; González, \nJosefina y Sesin Lettieri, Sofia (2019). Femicidios en clave estatal, \nObservatorio de Violencia de Género de la Defensoría del Pueblo de \nla Provincia de Buenos Aires, https://www.defensorba.org.ar/pdfs/\ndocumento-de-trabajo-femicidios-en-clave-estatal.pdf\nMalacalza, Laurana (2019). Violencia Institucional y Violencia de Gé nero: articulaciones y debates pendientes, Miradas Feministas sobre \nlos Derechos. Buenos Aires: Editorial Jusbaires, https://docplayer.\nes/150885485-Miradas-feministas-sobre-los-derechos.html\nMartín, Alejandra y  Rodigou Nocetti,  Maite (2013). Es la Vida Libre']","Sí, es violencia. No es correcto que una persona revise tu celular si tu consentimiento. ",0.9999999999666667,1.0,1.0,0.2403128408093099
4,¿Cuáles son los tipos de violencia de género?," Las principales formas de violencia de género incluyen:

Violencia física: golpes, agresión o ataques cuerpo a cuerpo.
Violencia sexual: abuso sexual o violación.
Harasamiento: intimidación, acoso verbal o psicológico.
Control emocional y mental: manipulación emocional, control emocional o mental.
Isolamiento social: evitar que la víctima tenga contacto con amigos, familiares o el mundo exterior.
Economico: limitar el acceso al dinero, bloquear el acceso a los recursos económicos o dificultar la independencia financiera de la víctima.","['79\nViolencias por motivos de género'
 '38Mitos sobre las violencias por motivos \nde género\nLos mitos sobre las violencias de género son creencias populares es tereotipadas que se sostienen a lo largo del tiempo. La complejidad \nde la vigencia y propagación de los mitos o falsas creencias sobre \nlas violencias de género es que las naturalizan y las relacionan con \nlo inevitable, lo instintivo, desdibujando su carácter estructural y la \nposibilidad de modificarlos. \nAl mismo tiempo, las violencias de género suelen ser ubicadas como una \nproblemática de una determinada clase social, justificadas en la falta de \neducación o en casos aislados, lo que evita comprender la problemática \ncomo una cuestión pública y social (González Prado - Yanes, 2013).'
 'diversidades que permite abordar las violencias dirigidas al conjunto \nde las identidades de género.'
 'tempranas de las violencias por motivos de género” del sello Mingeneros del Minis terio de las Mujeres, Géneros y Diversidad de la Nación. Disponible en https://www.\nargentina.gob.ar/sites/default/files/guia_de_herramientas_para_la_deteccion_de_senales_tempranas_de_las_violencias_por_motivos_de_genero.pdf']","En el artículo 5 de la Ley N° 26.485 de protección integral de las mujeres,     se definen seis tipos de violencias contra las mujeres: física, psicológica, sexual,     simbólica, política, económica y patrimonial. ",0.3333333333,0.8571428571428571,0.0,0.3575139624320562
5,Identifique el tipo y modalidad de violencia en la siguiente situación.    Mi pareja se resiste a usar preservativo. No puedo     usar otro método anticonceptivo por cuestiones de salud y     no deseo tener hijos en este momento.," Para resolver esta pregunta basado en el contexto proporcionado, primero necesitamos identificar la modalidad de violencia presente en esta situación. La modalidad de violencia que se aplica aquí es la violencia psicológica, ya que la resistencia de la pareja a usar preservativo puede ser percibida como una forma de manipulación y control emocional.

A continuación, debemos identificar el tipo de violencia. En este caso, se trata de violencia sexual, ya que la negativa a usar preservativo puede resultar en la exposición al riesgo de enfermedades de transmisión sexual y la posibilidad de embarazo no deseado.

Por lo tanto, la respuesta es que la modalidad de violencia psicológica está presente en una situación de violencia sexual.","['violencia política-pública.\nLos distintos tipos y modalidades de violencias se sostienen en \ncreencias y estereotipos vigentes que son reproducidos a través \nde prácticas y discursos que deben revisarse con perspectiva de \ngénero y diversidad. En este sentido, algunas transformaciones \nya son visibles. Por ejemplo, ya no es tolerable que un femicidio \nsea presentado en los medios de comunicación como un “crimen \npasional”, descripción que asocia pasión o amor con violencia. De \ntodas maneras, el camino por recorrer es aún muy largo.'
 '38Mitos sobre las violencias por motivos \nde género\nLos mitos sobre las violencias de género son creencias populares es tereotipadas que se sostienen a lo largo del tiempo. La complejidad \nde la vigencia y propagación de los mitos o falsas creencias sobre \nlas violencias de género es que las naturalizan y las relacionan con \nlo inevitable, lo instintivo, desdibujando su carácter estructural y la \nposibilidad de modificarlos. \nAl mismo tiempo, las violencias de género suelen ser ubicadas como una \nproblemática de una determinada clase social, justificadas en la falta de \neducación o en casos aislados, lo que evita comprender la problemática \ncomo una cuestión pública y social (González Prado - Yanes, 2013).'
 'contexto de violencia. \nRetomando las definiciones de tipos de violencias , la violencia psicológica comprende la manipulación, el aislamiento, la culpabilización, \nla vigilancia constante, la exigencia de obediencia, sumisión, inclusive \nla indiferencia o abandono que suelen afectar la salud psicológica y \nla autodeterminación.'
 'de violencia de género son procesos dinámicos que deben ser entendidas en su contexto, por eso es imprescindible contar con alertas que \npermitan anticipar complicaciones, emergencias, faltas o imprevistos.']",En cuanto al tipo de violencia la situación implica violencia sexual y modalidad     doméstica si la persona pertenece al grupo familiar. También se identifica la modalidad violencia     contra la libertad reproductiva.,0.8333333332916666,1.0,0.0,0.2450564853033769
6,¿Es correcto decir que el feminismo y el machismo son lo mismo?," No, es incorrecto decir que el feminismo y el machismo son lo mismo. El feminismo lucha contra las violencias sostenidas y reproducidas por el sistema patriarcal, mientras que el machismo promueve la superioridad de los varones por sobre las mujeres y LGBTI+. Estos conceptos no son iguales.","['41\nViolencias por motivos de géneroMito 7: ""Ella se lo buscó""  \nMuchos casos de violencia suceden por la ropa que usan las mujeres \ny LGBTI+.\nNada justifica ningún tipo de violencia. Estos comentarios transfieren \nla responsabilidad hacia la persona que se encuentra en una situación \nde violencia en vez de poner el foco sobre quien la ejerce.\nMito 8: ""Son lo mismo"" \nEl feminismo es lo mismo que el machismo pero al revés.\nEl machismo es un discurso que busca promover la superioridad de los \nvarones por sobre las mujeres y LGBTI+. Los feminismos luchan contra \nlas violencias sostenidas y reproducidas por el sistema patriarcal.\n41'
 'que cada cultura entiende como ‘masculino’ y ‘femenino’ \nvaría de acuerdo a los diferentes momentos históricos) y \nrelacional (lo que se entiende por masculino se define en \nrelación a lo que se entiende por femenino, y viceversa, \nen un horizonte de significaciones mutuas)”.        Luciano Fabbri\n“Apuntes sob re Feminismos y \nconstrucción de Po der Popula r” 2013'
 'Perspectiva de género y diversidad\n53“La mujer trabajará por una más equitativa distribu ción de la riqueza y una mayor responsabilidad moral \npor parte de los dos sexos, y no como actualmente se \npretende que sean leyes inhumanas las que manten gan las uniones imposibles y retengan en el hogar a \nuna mujer vencida por los desdenes, por las pesadum bres, por las enfermedades y por la miseria”.\nChimamanda Ngozi Adichie (2014) es una escritora \nnigeriana que, además de literatura y poesía, escribió \nensayos en los que reflexiona de manera llana y peda gógica sobre el feminismo. En “Todos deberíamos ser \nfeministas” dice:\n“Hay gente que pregunta: ¿Por qué usar la palabra ‘feminista’? ¿Por qué no decir simplemente que crees en \nlos derechos humanos o algo parecido? Pues porque'
 '43\nViolencias por motivos de génerouna demanda de reparación, se construye de manera tal que \nno es una mujer, ni una persona trans, ni unx indígena. Estas \nexclusiones están incorporadas en la ley. Entonces una parte \nde la lucha es establecer un lugar para lxs marginadxs y ex cluidxs dentro del mundo público. Eso les dará un lugar dentro de la ley y también en la política” (Judith Butler, 2019).\nSi bien durante décadas los movimientos feministas hablaron de \nlas discriminaciones múltiples o yuxtapuestas, el concepto de inter seccionalidad fue acuñado por Kimberlé Crenshaw, abogada y académica estadounidense, en el año 1989 (Viveros Vigoya, M., 2016; \nCrenshaw, 1991).  El concepto surge como crítica al feminismo que \nse enfoca en una sola dimensión de las opresiones (el sexismo) y']","No, no es correcto. El machismo es un discurso que busca promover la superioridad de losvarones por sobre las mujeres y LGBTI+. Los feminismos luchan contralas violencias sostenidas y reproducidas por el sistema patriarcal. ",0.49999999995,1.0,1.0,0.0
7,"Si asaltan a una mujer para robarle el celular y la matan por resistirse, ¿es femicidio? "," El concepto de femicidio está relacionado con muertes violentas de mujeres causadas por razones de género. En este sentido, aunque en el asalto a una mujer puede haber motivaciones relacionadas con su género, como la percepción de que es más fácil obtener un teléfono celular de una mujer, también pueden existir otras motivaciones puramente materiales o incluso delictivas sin esa dimensión de discriminación por género. Por lo tanto, aunque se trata de un asalto agravado por su género, no necesariamente constituye un femicidio.","['que tiene el propósito de causar sufrimiento a una persona con la que \nse mantiene o ha mantenido una relación (cónyuge, ex cónyuge, rela ción de pareja, entre otros).\nPor otro lado, el Registro Nacional de Femicidios de la Justicia Argentina (RNF JA) elaborado por la Oficina de la Mujer de la Corte Suprema \nde Justicia de la Nación, utiliza la definición expresada en la “Declaración sobre el Femicidio” aprobada en la Cuarta Reunión del Comité de \nExpertas/os (CEVI):\n“La muerte violenta de mujeres por razones de género, ya sea que \ntenga lugar dentro de la familia, unidad doméstica o en cualquier otra \nrelación interpersonal; en la comunidad, por parte de cualquier persona, o que sea perpetrada o tolerada por el Estado y sus agentes, por \nacción u omisión.”'
 'llevan a los varones por el mal camino.\nх Supuesta inferioridad intelectual: las mujeres e identidades fe minizadas no son cultxs, son frívolxs y el acceso a la educación \nva en detrimento de lo que dictan los estereotipos (Bosch, Fe rrer y Gili, 1999).\nEstas ideas que parecen tan extrañas o fuera de nuestro tiempo, si guen configurando las prácticas sociales, y son utilizadas con frecuencia para justificar desde las acciones más simples, como res tringir el acceso de las mujeres y LGBTI+ a ciertos espacios, hasta las \nmás extremas, como los femicidios, travesticidios y transfemicidios.'
 'sociales y participó en la creación del Movimiento Antidiscriminatorio \nde Liberación (M.A.L.). Trabajó en el INADI, colaboró con el suplemen to SOY del diario Página/12 y en la revista El Teje, la primera publicación periodística producida por personas trans en Latinoamérica.\n“Nosotras dejamos de ser una comunidad para convertirnos en un colectivo y nos convertimos en un \ncolectivo a partir de que empezamos a reconocer \nque nosotras mismas éramos sujetas que vivíamos \nen extrema opresión y empezamos a hacer una mirada crítica de esa realidad y a partir de esa mirada, \nempezar a transformarla” (Sacayán en Lucio, 2018).DIANA SACAYÁN\nDiana fue asesinada en 2015. El autor fue condenado y la justicia argentina calificó el homicidio de una travesti como un crimen de odio'
 'los servicios especializados de violencia”. \nEn su artículo 4 brinda una definición amplia del concepto de violencia \ncontra las mujeres:\n“toda conducta, acción u omisión que, de manera directa o indirecta, \ntanto en el ámbito público como en el privado, basada en una relación desigual de poder, afecte su vida, libertad, dignidad, integridad \nfísica, psicológica, sexual, económica o patrimonial, como así también su seguridad personal. Quedan comprendidas las perpetradas \ndesde el Estado o por sus agentes”. \nHablamos de “toda conducta” porque la violencia por motivos de género \nse expresa de muchas formas y con distintas intensidades. Puede ser \ndesde un comentario sobre nuestro cuerpo en la calle, los celos que nos']",No es femicidio matar una mujer para robarle el celular pues el motivo fue el robo    de un objeto y no la misoginia.,0.0,0.5,0.8333333333333334,0.415327586171679
8,¿Hay más pobreza entre mujeres que en hombres? Justifique.," ¡Por supuesto! Como sabemos, el género define y regula una serie de rasgos establecidos para varones y mujeres. En este caso, las mujeres son mayoritariamente pobres ya que el orden binario hace que el hombre tenga privilegios sobre la mujer en temas como trabajo o economía.","['donde ser identificado como hombre implica privilegios que \nno comporta ser identificada como mujer. Lo mismo, exac -'
 'se basa en un orden binario: mujer (vagina) = femenino / varón (pene) \n= masculino. Esta definición influye en la mayoría de los aspectos de \nnuestras vidas como el trabajo, la economía, las relaciones con otrxs, \nentre otras dimensiones. \nEs así que el género define y regula una serie de rasgos establecidos \npara varones y mujeres que son adquiridos en el proceso de sociali zación, en la familia o la escuela. Engloba discursos, saberes, formas \nde hacer y relaciones de poder que configuran cómo observamos el \nmundo, concebimos a quienes nos rodean, y cómo percibimos las diferencias socioeconómicas, culturales y políticas entre las personas \nen un contexto determinado.'
 '“¿Qué es ser mujer? Esta misma pregunta nos conduce a algo que resulta bastante difícil en la práctica, \nnos conduce al esencialismo. ¿Hay algo que define Perspectiva de género y diversidad'
 'últimas semanas un grupo de chicos del barrio se paran \nen la esquina y no las dejan avanzar. Ayer, además, uno \nde los pibes insultó a Martina y le dijo que quería tocarla \npara ver cuán mujer era.']","Según datos de la CEPAL del año 2018, en Argentina, cada 100 varones     que se encontraban en la pobreza existían 120 mujeres en lamisma condición, acentuándose esta relación en el caso de la pobreza extrema. A esto llamamos feminización de la pobreza. El rol social asignado al cuidado,  y su correlato en las limitaciones para poder acceder al mercado laboral,   generan como consecuencia la falta de autonomía durante las distintas etapas de la vida",0.999999999975,1.0,0.5,0.6764952218924503
9,¿Es una tarea de cuidado asistir a mi abuelita enferma?, Si,"['15\nIgualdad en los cuidados¿Qué son los cuidados?\nLlamamos tareas domésticas y de cuidado a todas aquellas actividades que hacemos a diario para nuestra subsistencia y la de lxs demás. Cocinar, limpiar, ordenar, hacer las compras o estar al cuidado \nde niñxs, personas mayores o con discapacidad que requieran apoyos \nde algún tipo, son tareas relacionadas con la reproducción, el bienes tar y el sostenimiento de la vida.\nQue el sentido común no nos engañe. Visibilizar las tareas \nde cuidado implica observar con atención nuestras prácticas y las de las personas que nos rodean para mirar(nos) en \nperspectiva:\nх ¿Quiénes te cuidaron o te cuidan? \nх ¿En qué momentos o por qué razones necesitamos cuidados? \nх ¿Cuándo y a quiénes has cuidado? \nх ¿Cuánto tiempo cuidás por mes? ¿Y por semana?'
 '35\nIgualdad en los cuidadosTodas, todes y todos podemos cuidar, los conocimientos sobre cómo \nhacerlo se pueden aprender. Si bien el desafío a largo plazo es de \norden cultural, simbólico y colectivo, la realidad hoy nos indica que el \nacceso a los derechos básicos es impostergable. \nEl objetivo es ubicar los cuidados en el centro de la agenda económi ca y social, para que quienes necesiten cuidado lo tengan sin que de \nello dependa su nivel de ingresos o su composición familiar, y para \nque las personas que libremente -y sin importar su género- elijan dedicarse a cuidar, puedan ser retribuidas por su tarea y cuenten con la \nprotección social adecuada.'
 'ocho horas a un empleo fuera del hogar, hay que resolver previamente \nciertas cosas que nos permitan estar en el trabajo. Por ejemplo, es \nnecesario tener ropa limpia. Para que eso sea posible, alguien tuvo \nque haber advertido la necesidad, comprado, lavado, puesto a secar, \ny/o planchado la ropa.\nEsta organización tuvo y tiene consecuencias para la autonomía de \nlas mujeres y sus posibilidades de desarrollo. Si ellas dedican más \nhoras a las tareas domésticas y de cuidados de otrxs, tienen menos \ntiempo para dedicar a su propio cuidado, a sus trayectorias laborales, \nestudios, e incluso, al ocio. Las políticas de cuidado son, en definitiva, \npolíticas acerca de cómo usamos el tiempo.\nAun cuando se trata de mujeres que no dedican parte de su tiempo'
 'realicen deben ser situadas, respetando la singularidad de la persona \nque se acompaña. Es fundamental contener, derivar y/o articular con \notros organismos del Estado y para ello se debe contar con informa ción actualizada y pertinente.\nSe trata de sostener y acompañar un proceso a través del cual las \npersonas puedan recuperar la posibilidad de decidir en torno a su proyecto de vida, cuerpo, salud, entre otros aspectos. Para llevar adelante \neste proceso será primordial que la persona se sienta contenida y que \nse construya un vínculo de confianza que permita conocer su historia \ny reconocer las violencias que atraviesa, así como las posibilidades \nde construir un nuevo proyecto de vida.']","Sí lo es, pues los cuidados son las tareas domésticas y actividades de asistencia     de ayuda a los demás por ejemplo el cuidado de personas mayores.",0.8055555555287036,1.0,1.0,0.6866316193750689
